2013-07-10;BA746;London / Heathrow (LHR/EGLL);Stavanger / Sola (SVG/ENZV);17:00:00;19:45:00;01:45:00;British Airways (BA/BAW);Airbus A319-100 (A319);G-EUPW;;1;1;1;1618;2809;113;2073
2013-10-11;SK4006;Stavanger / Sola (SVG/ENZV);Oslo / Gardermoen (OSL/ENGM);07:30:00;08:20:00;00:50:00;Scandinavian Airlines (SK/SAS);Boeing 737-600 (B736);LN-RPF;;1;1;1;2809;2219;677;229
2013-10-11;SK4051;Oslo / Gardermoen (OSL/ENGM);Stavanger / Sola (SVG/ENZV);22:05:00;22:55:00;00:50:00;Scandinavian Airlines (SK/SAS);Boeing 737-800 (B738);LN-RRK;;1;1;1;2219;2809;677;231
2013-10-26;SK1871;Stavanger / Sola (SVG/ENZV);Copenhagen / Kastrup (CPH/EKCH);06:00:00;07:10:00;01:10:00;Scandinavian Airlines (SK/SAS);Airbus A320-200 (A320);OY-KAM;17A;1;1;1;2809;606;677;2059
2013-10-26;SK1876;Copenhagen / Kastrup (CPH/EKCH);Stavanger / Sola (SVG/ENZV);21:05:00;22:15:00;01:10:00;Scandinavian Airlines (SK/SAS);Airbus A319-100 (A319);OY-KBP;15A;1;1;1;606;2809;677;2073
2013-10-26;SK7080;Copenhagen / Kastrup (CPH/EKCH);Aalborg / Aalborg (AAL/EKYT);10:30:00;11:00:00;00:30:00;Scandinavian Airlines (SK/SAS);McDonnell Douglas MD-82 (MD82);LN-RMM;26F;1;1;1;606;6;677;1186
2013-10-26;SK7080;Aalborg / Aalborg (AAL/EKYT);Billund / Billund (BLL/EKBI);11:00:00;11:30:00;00:30:00;Scandinavian Airlines (SK/SAS);McDonnell Douglas MD-82 (MD82);LN-RMM;26F;1;1;1;6;345;677;1186
2013-10-26;SK7080;Billund / Billund (BLL/EKBI);Copenhagen / Kastrup (CPH/EKCH);11:30:00;12:30:00;01:00:00;Scandinavian Airlines (SK/SAS);McDonnell Douglas MD-82 (MD82);LN-RMM;26F;1;1;1;345;606;677;1186
2014-03-28;KL1196;Stavanger / Sola (SVG/ENZV);Amsterdam / Schiphol (AMS/EHAM);06:00:00;07:35:00;01:35:00;KLM Royal Dutch Airlines (KL/KLM);Boeing 737-800 (B738);PH-BXV;24F;1;1;1;2809;122;440;231
2014-03-28;KL1263;Amsterdam / Schiphol (AMS/EHAM);Nice / Nice Cote D'Azur (NCE/LFMN);09:45:00;11:40:00;01:55:00;KLM Royal Dutch Airlines (KL/KLM);Embraer ERJ-190 (E190);PH-EXB;24F;1;1;1;122;2027;440;655
2014-03-31;AF7715;Nice / Nice Cote D'Azur (NCE/LFMN);Paris / Charles de Gaulle (CDG/LFPG);16:05:00;17:40:00;01:35:00;Air France (AF/AFR);Airbus A320-200 (A320);F-GKXE;15F;1;1;1;2027;509;34;2059
2014-03-31;AF1746;Paris / Charles de Gaulle (CDG/LFPG);Stavanger / Sola (SVG/ENZV);19:20:00;21:25:00;02:05:00;Air France (AF/AFR);Embraer ERJ-170 (E170);F-HBXG;17F;1;1;1;509;2809;34;654
2014-04-12;LH879;Stavanger / Sola (SVG/ENZV);Frankfurt am Main / Frankfurt (FRA/EDDF);06:40:00;08:15:00;01:35:00;Lufthansa (LH/DLH);Boeing 737-500 (B735);D-ABIX;21F;1;1;1;2809;919;239;228
2014-04-12;LH1270;Frankfurt am Main / Frankfurt (FRA/EDDF);Innsbruck / Innsbruck (INN/LOWI);12:40:00;13:40:00;01:00:00;Austrian Airlines (OS/AUA);Bombardier Dash 8-400 (DH8D);OE-LGI;14F;1;1;1;919;1248;87;610
2014-04-19;LH1271;Innsbruck / Innsbruck (INN/LOWI);Frankfurt am Main / Frankfurt (FRA/EDDF);14:30:00;15:40:00;01:10:00;Austrian Airlines (OS/AUA);Bombardier Dash 8-400 (DH8D);OE-LGN;8F;1;1;1;1248;919;87;610
2014-04-19;LH878;Frankfurt am Main / Frankfurt (FRA/EDDF);Stavanger / Sola (SVG/ENZV);21:45:00;23:35:00;01:25:00;Lufthansa (LH/DLH);Boeing 737-500 (B735);D-ABJB;14A;1;1;1;919;2809;239;228
2010-09-25;DY121;Stavanger / Sola (SVG/ENZV);Bergen / Flesland (BGO/ENBR);07:00:00;07:25:00;00:25:00;Norwegian Air Shuttle (DY/NAX);Boeing 737-800 (B738);LN-NOF;;1;1;1;2809;289;552;231
2012-03-31;KL1263;Amsterdam / Schiphol (AMS/EHAM);Nice / Nice Cote D'Azur (NCE/LFMN);09:45:00;11:40:00;01:55:00;KLM Royal Dutch Airlines (KL/KLM);Embraer ERJ-190 (E190);PH-EZE;;1;1;1;122;2027;440;655
2014-06-19;SK4006;Stavanger / Sola (SVG/ENZV);Oslo / Gardermoen (OSL/ENGM);07:25:00;08:20:00;00:55:00;Scandinavian Airlines (SK/SAS);Boeing 737-700 (B737);LN-TUL;14A;1;1;1;2809;2219;677;230
2014-06-19;SK4053;Oslo / Gardermoen (OSL/ENGM);Stavanger / Sola (SVG/ENZV);22:45:00;23:40:00;00:55:00;Scandinavian Airlines (SK/SAS);Boeing 737-600 (B736);LN-RRD;14F;1;1;1;2219;2809;677;229
2011-03-04;SK1871;Stavanger / Sola (SVG/ENZV);Copenhagen / Kastrup (CPH/EKCH);06:00:00;07:15:00;01:15:00;Scandinavian Airlines (SK/SAS);McDonnell Douglas MD-82 (MD82);OY-KHP;;1;1;1;2809;606;677;1186
2011-03-04;SK613;Copenhagen / Kastrup (CPH/EKCH);Geneva / Cointrin (GVA/LSGG);08:40:00;10:50:00;02:10:00;Scandinavian Airlines (SK/SAS);McDonnell Douglas MD-82 (MD82);LN-ROX;;1;1;1;606;1065;677;1186
2011-03-12;SK618;Geneva / Cointrin (GVA/LSGG);Copenhagen / Kastrup (CPH/EKCH);17:30:00;19:40:00;02:10:00;Scandinavian Airlines (SK/SAS);Airbus A321-200 (A321);OY-KBB;1A;1;4;1;1065;606;677;2076
2011-03-12;SK1878;Copenhagen / Kastrup (CPH/EKCH);Stavanger / Sola (SVG/ENZV);21:05:00;22:15:00;01:10:00;Scandinavian Airlines (SK/SAS);Airbus A319-100 (A319);OY-KBR;1A;1;4;1;606;2809;677;2073
